,City,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
477,Talaya,61.38,152.75,4.37,84,2.73,32
478,Mtsensk,53.28,36.57,33.08,81,5.86,10
479,Manaure,11.78,-72.44,84.88,55,20.15,100
480,Farmington,36.73,-108.22,59.99,16,21.63,1
481,Nova Olinda do Norte,-3.89,-59.09,84.4,78,2.44,63
482,Gua Musang,4.88,101.96,72.12,90,0.56,96
483,Pilar,-9.6,-35.96,79.16,81,5.75,92
484,Dakar,14.69,-17.44,68.0,88,9.17,0
485,Kaohsiung City,22.62,120.31,73.67,88,4.7,40
486,Mountain Home,43.13,-115.69,44.6,39,11.41,40
487,Rechka Vydrino,51.48,104.85,15.19,88,4.72,97
488,Grand-Santi,4.25,-54.38,83.26,64,4.94,90
489,Yuli,9.7,10.27,86.11,43,6.22,66
490,Tevaitoa,-16.78,-151.5,83.62,68,7.87,45
491,Jijiang,29.29,106.25,71.11,68,3.38,0
492,Sikasso,10.92,-7.0,87.91,33,5.86,94
493,Lüderitz,-26.65,15.16,68.0,64,18.34,0
494,Monterrey,25.67,-100.32,96.98,22,7.25,2
495,Cockburn Town,21.46,-71.14,78.8,65,6.93,40
496,Medicine Hat,50.05,-110.67,32.52,70,4.7,90
497,Krasnoturansk,54.32,91.56,16.93,87,2.08,95
498,Orlik,52.52,99.83,-7.91,67,4.92,90
499,Kalabo,-14.97,22.68,69.33,61,5.86,2
500,Buraidah,26.33,43.98,72.05,23,7.76,68
501,Nokaneng,-19.67,22.27,72.88,43,2.21,56
502,Dukat,62.55,155.55,6.39,86,4.09,47
503,Terråk,65.09,12.37,32.79,92,7.25,29
504,Neuquén,-38.95,-68.06,82.4,26,5.82,0
505,Mandalgovi,45.76,106.27,12.4,63,14.7,4
506,Alice Springs,-23.7,133.88,64.4,63,3.36,0
507,Inhambane,-23.86,35.38,77.0,78,5.39,0
508,Kiryat Gat,31.61,34.76,48.99,78,4.38,46
509,Butembo,0.15,29.28,55.13,64,1.97,84
510,Gouré,13.98,10.27,86.09,15,8.23,97
511,Cam Ranh,11.92,109.16,78.8,88,3.36,20
512,Gemeente Wageningen,51.97,5.67,43.3,38,12.75,90
513,Narrabri,-30.32,149.78,64.51,88,5.82,90
514,Shar,49.59,81.05,1.67,89,1.32,0
515,Marrakesh,31.63,-8.01,62.6,63,9.17,40
516,Beloha,-25.17,45.05,73.47,81,2.01,7
517,Boende,-0.22,20.87,70.77,88,0.67,88
518,Dingle,11.0,122.67,76.14,85,10.58,85
519,Lokoja,7.8,6.74,80.71,70,8.9,100
520,Bindura,-17.3,31.33,65.64,56,0.78,7
521,Marsh Harbour,26.54,-77.06,77.97,69,13.71,14
522,Mahrīz,31.59,54.43,48.47,32,1.52,31
523,Haikou,20.05,110.34,75.2,94,6.71,20
524,Bogorodskoye,56.55,37.88,33.84,81,11.07,67
525,Mayumba,-3.43,10.66,80.4,84,11.05,91
526,Songea,-10.68,35.65,71.6,94,4.7,75
527,Guanare,9.04,-69.74,97.77,29,4.43,52
528,Eyl,7.98,49.82,82.02,78,15.05,43
529,Atambua,-9.11,124.89,74.12,79,2.33,64
530,Opuwo,-18.06,13.84,72.34,47,4.27,12
531,Linden,6.0,-58.3,82.27,68,7.36,57
532,Hurricane,37.18,-113.29,60.28,22,18.39,96
533,Mossamedes,-15.2,12.15,74.07,80,3.8,67
534,Villa Carlos Paz,-31.42,-64.5,61.25,71,8.7,100
535,Bahía Blanca,-38.72,-62.27,69.04,50,16.35,40
536,Tete,-16.16,33.59,75.2,69,2.68,11
537,Huarmey,-10.07,-78.15,79.61,64,8.93,9
538,Hobyo,5.35,48.53,83.39,75,13.29,79
539,Brae,60.4,-1.35,41.0,93,9.17,100
540,Creel,27.75,-107.63,74.37,8,12.41,0
541,Iqaluit,63.75,-68.51,-4.54,64,8.05,20
542,Kalikino,52.95,39.83,33.35,82,5.82,14
543,Bonthe,7.53,-12.51,80.55,81,7.9,2
544,Bull Savanna,17.89,-77.59,78.78,65,3.29,31
545,San Cristobal,7.77,-72.22,81.72,41,1.16,58
546,Puqi,29.72,113.88,68.0,83,5.73,97
547,Ürümqi,43.8,87.6,30.2,46,2.24,0
548,Leningradskiy,69.38,178.42,5.83,93,4.92,93
549,Sierra Vista,31.55,-110.3,79.14,13,29.97,1
550,Samarai,-10.62,150.67,82.06,79,5.28,98
551,Dauphin,51.15,-100.05,32.0,90,4.7,1
552,Ancud,-41.87,-73.82,65.3,63,7.36,0
553,Ayorou,14.73,0.92,82.04,18,7.23,9
554,Bereda,43.27,-7.54,39.99,96,1.99,0
555,Lata,40.16,-8.33,50.31,89,3.18,10
556,Yaan,7.38,8.57,81.79,64,8.72,100
557,Houston,29.76,-95.36,88.12,52,6.93,20
558,Qiongshan,20.01,110.35,75.2,94,6.71,20
559,Hervey Bay,-25.3,152.85,68.0,89,9.1,24
560,Tayoltita,24.08,-105.93,93.51,15,8.39,0
561,Ostrovnoy,68.05,39.51,31.32,95,20.6,21
562,La Palma,33.85,-118.05,62.89,48,11.41,90
563,Usinsk,65.99,57.53,29.8,98,22.3,100
564,Barranca,-10.75,-77.77,77.29,67,9.46,29
565,Beidao,34.57,105.89,50.5,30,8.43,100
