City,Country,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
Hokitika,NZ,-42.72,170.97,56.95,62,6.76,17
Eureka,US,40.8,-124.16,57.67,76,6.93,90
Lahaina,US,20.88,-156.68,77.02,61,4.7,40
Basoko,CD,1.24,23.62,68.0,85,1.32,100
Clyde,US,41.3,-82.98,45.95,42,26.4,75
Sovetskiy,RU,61.36,63.58,30.45,97,8.7,52
Mandera,KE,3.94,41.87,91.0,11,5.01,0
Dera Bugti,PK,29.03,69.15,79.47,23,8.25,25
Armidale,AU,-30.52,151.65,52.0,69,4.0,100
Cabo San Lucas,MX,22.89,-109.91,79.32,44,13.87,90
Hofn,IS,64.25,-15.21,35.55,83,4.83,68
Xingyi,CN,24.19,102.82,52.99,54,3.78,0
Macouria,GF,4.92,-52.37,80.6,88,10.29,94
Sangar,RU,63.92,127.47,30.47,97,6.08,100
Dingcheng,CN,32.13,115.04,51.75,78,6.11,100
Yumen,CN,40.28,97.2,41.99,29,18.54,0
Tāybād,IR,34.74,60.78,41.29,54,1.61,40
Ekibastuz,KZ,51.67,75.37,33.82,75,9.19,55
Vágur,FO,61.47,-6.81,44.02,74,9.6,99
Minas,UY,-34.38,-55.24,64.2,68,10.29,20
Bharatpur,IN,27.22,77.48,79.03,22,7.29,85
Nambucca Heads,AU,-30.65,153.0,63.1,93,5.82,40
Flinders,AU,-34.58,150.86,61.52,100,15.05,90
Prince George,CA,53.92,-122.75,48.2,42,14.99,40
Nioro,GM,13.35,-15.75,81.72,30,10.07,0
Warragul,AU,-38.17,145.93,54.45,94,1.01,62
Mackay,AU,-21.15,149.2,71.49,94,9.17,90
Maniitsoq,GL,65.42,-52.9,33.96,82,1.57,13
Salinas,US,36.68,-121.66,58.78,67,14.99,90
Am Timan,TD,11.03,20.28,84.78,40,1.48,64
Abu Kamal,SY,34.45,40.92,67.06,40,8.21,0
Rørvik,NO,64.86,11.24,37.53,77,13.04,99
Normandin,CA,48.83,-72.53,36.32,64,12.75,75
Arrondissement de Gap,FR,44.67,6.0,52.0,57,5.99,0
Baie-Comeau,CA,49.22,-68.15,35.94,80,10.29,1
De Aar,ZA,-30.65,24.01,67.53,28,6.2,24
Mago,RU,53.25,140.18,25.0,96,3.74,3
Bosaso,SO,11.28,49.18,82.47,62,5.23,43
Três Rios,BR,-22.12,-43.21,61.0,89,2.86,78
Tutóia,BR,-2.76,-42.27,80.6,94,4.7,40
Whitecourt,CA,54.15,-115.69,51.8,40,13.87,75
Waingapu,ID,-9.66,120.26,78.64,78,4.34,10
Mumford,GH,5.26,-0.76,81.88,84,8.5,17
Nsanje,MW,-16.92,35.26,72.01,90,5.39,47
Long,TH,18.08,99.83,74.68,68,1.19,2
Pusztaszer,HU,46.55,19.99,52.99,40,2.24,0
Tomatlán,MX,19.93,-105.25,93.52,24,10.16,1
Otane,NZ,-39.88,176.63,46.0,95,10.94,13
Santiago del Estero,AR,-27.8,-64.26,70.9,44,3.56,74
Gravdal,NO,68.12,13.5,33.15,85,19.51,98
Kumëny,RU,58.11,49.92,37.58,85,9.71,100
Magugu,TZ,-4.02,35.77,67.32,62,9.42,61
Kendari,ID,-3.94,122.5,75.13,91,3.0,99
Bonavista,CA,48.65,-53.11,35.01,57,8.99,10
Pokosnoye,RU,55.53,101.05,38.73,82,5.06,93
Dubai,AE,25.26,55.3,83.95,27,6.93,0
Poshekhon'ye,RU,58.5,39.14,41.52,87,4.83,100
Olafsvik,IS,64.89,-23.71,35.51,83,5.91,76
Lubao,PH,14.92,120.55,77.02,88,4.7,40
Safi,MA,32.3,-9.24,64.22,82,11.21,18
Chumikan,RU,54.72,135.31,32.31,93,3.62,88
Marquette,US,46.53,-87.63,33.73,74,20.8,90
Wad Medani,SD,14.4,33.52,91.04,13,13.27,47
Portalegre,PT,39.29,-7.43,59.77,100,1.12,75
Taltal,CL,-25.4,-70.48,69.85,62,4.79,2
Ambilobe,MG,-13.2,49.05,73.6,87,4.74,3
Tabuk,PH,17.42,121.44,71.85,82,3.51,59
Derzhavīnsk,KZ,51.1,66.32,33.12,85,10.78,17
Batemans Bay,AU,-35.72,150.18,56.8,100,6.69,98
Washington,US,47.5,-120.5,65.86,24,5.82,1
Yabrūd,SY,33.97,36.66,44.55,76,11.41,2
Huaihua,CN,27.55,109.96,62.55,70,2.35,56
Tacuarembó,UY,-31.73,-55.98,64.04,58,8.12,56
San Cristobal,VE,7.77,-72.22,91.4,52,13.87,20
Wattegama,LK,6.8,81.48,74.1,87,1.74,10
Senanga,ZM,-16.12,23.27,67.3,65,6.49,65
Beira,MZ,-19.84,34.84,78.8,65,16.11,75
